time,ëO„¯çúãÿ
378,-0.02542591
379,-0.02007341
380,-0.02007341
381,-0.0227499
382,-0.01739693
383,-0.01739693
384,-0.01739693
385,-0.02810287
386,-0.02007341
387,-0.01739693
388,-0.03613186
389,-0.03345537
390,-0.0227499
391,-0.01204395
392,-0.01739693
393,-0.02810287
394,-0.03345537
395,-0.04416132
396,-0.03613186
397,-0.02542591
398,-0.02810287
399,-0.03345537
400,-0.04148436
401,-0.02542591
402,-0.01204395
403,-0.006691456
404,-0.02542591
405,-0.01739693
406,-0.01204395
407,-0.009367466
408,-0.01472044
409,-0.01472044
410,-0.01739693
411,-0.01204395
412,-0.006691456
413,-0.009367466
414,-0.01204395
415,-0.01204395
416,-0.0227499
417,-0.0227499
418,-0.02007341
419,-0.01739693
420,-0.01472044
421,-0.0227499
422,-0.02810287
423,-0.03345537
424,-0.0227499
425,-0.01739693
426,-0.01739693
427,-0.01472044
428,-0.01204395
429,-0.01739693
430,-0.02007341
431,-0.02007341
432,-0.02007341
433,-0.02007341
434,-0.03880835
435,-0.02542591
436,-0.02810287
437,-0.03077888
438,-0.006691456
439,-0.004014492
440,-0.01739693
441,-0.01472044
442,-0.03613186
443,-0.03345537
444,-0.02810287
445,-0.01739693
446,-0.02810287
447,-0.01739693
448,0.001338005
449,-0.004014492
450,-0.001338482
451,-0.0227499
452,-0.04951429
453,-0.05486679
454,-0.03345537
455,-0.03345537
456,-0.04416132
457,-0.03880835
458,-0.04951429
459,-0.04148436
460,-0.02542591
461,-0.02542591
462,-0.02810287
463,-0.01739693
464,-0.0227499
465,-0.04416132
466,-0.02810287
467,-0.02007341
468,-0.009367466
469,-0.006691456
470,-0.01739693
471,-0.0227499
472,-0.01472044
473,0.006690979
474,0.01204395
475,0.009367943
476,-0.03345537
477,-0.05754328
478,-0.06289577
479,-0.06557274
480,-0.06021976
481,-0.03077888
482,-0.01472044
483,-0.01204395
484,-0.01739693
485,-0.03077888
486,-0.03613186
487,-0.04148436
488,-0.0227499
489,-0.01204395
490,-0.006691456
491,-0.006691456
492,-0.02007341
493,-0.0227499
494,-0.03613186
495,-0.02542591
496,-0.03077888
497,-0.03880835
498,-0.01472044
499,0.006690979
500,-0.001338482
501,-0.01204395
502,-0.0227499
503,-0.04683733
504,-0.05754328
505,-0.04683733
506,-0.03613186
507,-0.03345537
508,-0.02810287
509,-0.006691456
510,-0.006691456
511,0.001338005
512,-0.004014492
513,-0.001338482
514,-0.01739693
515,-0.0521903
516,-0.06557274
517,-0.05754328
518,-0.02810287
519,-0.02810287
520,-0.06557274
521,-0.0521903
522,-0.03880835
523,-0.02542591
524,-0.04683733
525,-0.05754328
526,-0.06021976
527,-0.04683733
528,-0.03880835
529,-0.01204395
530,0.001338005
531,-0.01204395
532,-0.01204395
533,-0.0227499
534,-0.02007341
535,-0.006691456
536,-0.01739693
537,-0.009367466
538,0.01204395
539,0.006690979
540,0.03077936
541,0.04148483
542,-0.009367466
543,-0.05486679
544,-0.03613186
545,-0.02542591
546,-0.03880835
547,-0.03613186
548,-0.009367466
549,-0.01204395
550,-0.02007341
551,-0.03345537
552,-0.03880835
553,-0.01739693
554,-0.02810287
555,-0.03880835
556,-0.04148436
557,-0.05486679
558,-0.04951429
559,-0.03077888
560,-0.01739693
561,-0.01472044
562,-0.01739693
563,-0.004014492
564,0.01472044
565,0.01204395
566,-0.01472044
567,-0.01472044
568,0.001338005
569,0.001338005
570,-0.02542591
571,-0.03880835
572,-0.04148436
573,-0.03613186
574,-0.03613186
575,-0.03345537
576,-0.0227499
577,-0.01472044
578,-0.01739693
579,-0.03077888
580,-0.03613186
581,-0.02542591
582,-0.0227499
583,-0.02810287
584,-0.02542591
585,-0.01472044
586,-0.0227499
587,-0.02542591
588,-0.02542591
589,-0.03345537
590,-0.03077888
591,-0.02542591
592,-0.02542591
593,-0.01739693
594,-0.006691456
595,-0.004014492
596,0.009367943
597,0.004014969
598,-0.009367466
599,-0.01739693
600,-0.02810287
601,-0.03880835
602,-0.03077888
603,-0.01739693
604,-0.02542591
605,-0.009367466
606,-0.01739693
607,-0.0227499
608,-0.0227499
609,-0.009367466
610,-0.009367466
611,-0.02542591
612,-0.02810287
613,-0.02810287
614,-0.0521903
615,-0.04416132
616,-0.0227499
617,-0.02810287
618,-0.03613186
619,-0.02810287
620,-0.02542591
621,-0.01204395
622,-0.009367466
623,-0.01739693
624,-0.02542591
625,-0.03077888
626,-0.02542591
627,-0.02542591
628,-0.01739693
629,-0.01739693
630,-0.01472044
631,-0.01472044
632,-0.01472044
633,-0.01739693
634,-0.01739693
635,-0.0227499
636,-0.02007341
637,-0.0227499
638,-0.02007341
639,-0.01739693
640,-0.02007341
641,-0.01739693
642,-0.01472044
643,-0.01472044
644,-0.0227499
645,-0.0227499
646,-0.02007341
647,-0.02007341
648,-0.01739693
649,-0.01739693
650,-0.0227499
651,-0.0227499
652,-0.0227499
653,-0.02007341
654,-0.0227499
655,-0.0227499
656,-0.0227499
657,-0.02007341
658,-0.02007341
659,-0.01739693
660,-0.01472044
661,-0.01739693
662,-0.02007341
663,-0.0227499
664,-0.0227499
665,-0.01739693
666,-0.0227499
667,-0.02542591
668,-0.02007341
669,-0.01739693
670,-0.01739693
671,-0.01739693
672,-0.01739693
673,-0.01739693
674,-0.02542591
675,-0.0227499
676,-0.01204395
677,-0.02007341
678,-0.02007341
679,-0.01472044
680,-0.01204395
681,0.004014969
682,-0.006691456
683,-0.009367466
684,-0.02542591
685,-0.03077888
686,-0.05754328
687,-0.08163118
688,-0.05486679
689,0.001338005
690,-0.01739693
691,-0.1083956
692,-0.1806593
693,-0.1565714
694,-0.09501362
695,-0.05754328
696,0.1458654
697,0.3171573
698,0.2716584
699,0.1485424
700,-0.1083956
701,-0.244894
702,-0.2636285
703,-0.2154531
704,-0.1967177
705,0.03613186
706,0.2689815
707,0.1110721
